Rxx(Ohm),B(mT)
344.52469,46.99847753
343.55884,46.69816777
344.86285,46.39785801
343.99417,46.09754825
344.28375,45.79723849
344.6705,45.49692872
344.5155,45.19661896
344.11566,44.8963092
344.35663,44.59599944
344.09137,44.29568968
344.01849,43.99537992
343.99417,43.69507016
343.29358,43.3947604
343.43939,43.09445064
344.30804,42.79414088
344.04279,42.49383112
344.57327,42.19352136
343.29358,41.8932116
343.29358,41.59290184
343.80182,41.29259208
343.65604,40.99228232
342.82697,40.69197256
342.76306,40.3916628
343.23108,40.09135303
343.3179,39.79104327
342.11108,39.49073351
341.95636,39.19042375
342.66589,38.89011399
342.75406,38.58980423
341.9187,38.28949447
342.71448,37.98918471
344.11566,37.68887495
343.53455,37.38856519
341.79721,37.08825543
341.53198,36.78794567
342.24789,36.48763591
340.77396,36.18732615
341.36389,35.88701639
341.00146,35.58670663
340.92856,35.28639687
341.84583,34.98608711
341.77292,34.68577734
341.72433,34.38546758
340.42236,34.08515782
340.63901,33.78484806
339.91412,33.4845383
341.38617,33.18422854
340.80707,32.88391878
340.68762,32.58360902
340.68762,32.28329926
340.13278,31.9829895
339.77036,31.68267974
340.05991,31.38236998
339.79465,31.08206022
339.28641,30.78175046
338.34485,30.4814407
338.32056,30.18113094
338.24969,29.88082118
340.22797,29.58051142
338.8288,29.28020165
338.07101,28.97989189
337.91153,28.67958213
337.52478,28.37927237
336.87277,28.07896261
337.62198,27.77865285
337.04288,27.47834309
336.84848,27.17803333
337.38101,26.87772357
336.41516,26.57741381
336.68042,26.27710405
335.78745,25.97679429
335.03824,25.67648453
335.64166,25.37617477
334.84592,25.07586501
336.36655,24.77555525
336.24506,24.47524549
335.42502,24.17493573
334.96536,23.87462596
334.90207,23.5743162
335.18405,23.27400644
335.44931,22.97369668
336.70474,22.67338692
336.7999,22.37307716
335.30353,22.0727674
334.98969,21.77245764
334.50775,21.47214788
334.48346,21.17183812
334.29111,20.87152836
333.80716,20.5712186
334.01566,20.27090884
332.91418,19.97059908
332.4809,19.67028932
332.4809,19.36997956
332.35941,19.0696698
331.85318,18.76936004
331.86951,18.46905027
332.04553,18.16874051
331.38559,17.86843075
331.41782,17.56812099
330.73367,17.26781123
331.80457,16.96750147
331.5636,16.66719171
330.13034,16.36688195
329.39093,16.06657219
329.39093,15.76626243
330.59775,15.46595267
328.81183,15.16564291
327.21078,14.86533315
327.43494,14.56502339
327.36206,14.26471363
328.56885,13.96440387
327.98975,13.66409411
325.93857,13.36378434
325.52753,13.06347458
324.73178,12.76316482
324.92413,12.46285506
326.17212,12.1625453
324.41791,11.86223554
324.56369,11.56192578
324.56369,11.26161602
323.81448,10.96130626
323.98257,10.6609965
323.88739,10.36068674
323.56638,10.06037698
323.17966,9.760067218
322.67352,9.459757458
322.72919,9.159447697
322.5105,8.859137937
321.64182,8.558828176
321.95569,8.258518415
320.53223,7.958208655
321.44946,7.657898894
320.47678,7.357589134
319.94629,7.057279373
319.51102,6.756969613
319.54208,6.456659852
319.01154,6.156350091
318.89005,5.856040331
319.43811,5.55573057
318.83475,5.25542081
317.53949,4.955111049
317.78043,4.654801289
318.33527,4.354491528
316.62222,4.054181768
315.68066,3.753872007
315.36682,3.453562246
315.05298,3.153252486
315.02866,2.852942725
314.34613,2.552632965
314.48984,2.252323204
314.44955,1.952013444
314.32806,1.651703683
312.99976,1.351393923
312.27689,1.051084162
313.52612,0.750774401
312.07645,0.450464641
312.29514,0.15015488
312.37204,-0.15015488
311.11868,-0.450464641
310.78052,-0.750774401
311.42453,-1.051084162
311.26242,-1.351393923
311.44882,-1.651703683
312.24655,-1.952013444
312.77701,-2.252323204
312.27084,-2.552632965
311.93875,-2.852942725
312.1311,-3.153252486
312.59073,-3.453562246
314.49817,-3.753872007
313.53232,-4.054181768
315.43768,-4.354491528
314.01422,-4.654801289
313.5809,-4.955111049
313.68799,-5.25542081
314.29752,-5.55573057
314.83429,-5.856040331
315.29391,-6.156350091
316.98264,-6.456659852
317.65894,-6.756969613
316.40353,-7.057279373
316.42786,-7.357589134
316.88748,-7.657898894
316.81458,-7.958208655
318.07001,-8.258518415
318.81717,-8.558828176
319.97061,-8.859137937
319.97061,-9.159447697
321.19958,-9.459757458
321.5134,-9.760067218
320.24268,-10.06037698
320.41074,-10.36068674
321.32797,-10.6609965
321.27246,-10.96130626
321.49808,-11.26161602
321.78064,-11.56192578
321.52237,-11.86223554
322.76868,-12.1625453
323.20398,-12.46285506
322.96304,-12.76316482
324.15268,-13.06347458
324.12836,-13.36378434
323.93597,-13.66409411
324.39362,-13.96440387
324.82895,-14.26471363
324.99704,-14.56502339
325.73883,-14.86533315
327.09677,-15.16564291
327.94116,-15.46595267
328.19119,-15.76626243
328.32028,-16.06657219
328.89932,-16.36688195
327.86273,-16.66719171
327.12109,-16.96750147
329.14999,-17.26781123
328.32028,-17.56812099
328.32791,-17.86843075
328.30359,-18.16874051
328.707,-18.46905027
329.69705,-18.76936004
330.57346,-19.0696698
329.31805,-19.36997956
330.08951,-19.67028932
329.14999,-19.97059908
329.68051,-20.27090884
329.77567,-20.5712186
330.62207,-20.87152836
330.42767,-21.17183812
330.52487,-21.47214788
330.41983,-21.77245764
330.95233,-22.0727674
331.23193,-22.37307716
331.58792,-22.67338692
332.01324,-22.97369668
331.82092,-23.27400644
332.64893,-23.5743162
332.43228,-23.87462596
333.10858,-24.17493573
333.06,-24.47524549
333.39813,-24.77555525
333.68768,-25.07586501
334.62103,-25.37617477
335.86035,-25.67648453
334.07239,-25.97679429
333.79898,-26.27710405
333.92865,-26.57741381
334.53207,-26.87772357
334.31537,-27.17803333
336.34229,-27.47834309
334.96536,-27.77865285
335.90692,-28.07896261
336.98581,-28.37927237
337.32391,-28.67958213
336.72058,-28.97989189
336.36655,-29.28020165
335.86035,-29.58051142
336.0527,-29.88082118
335.97983,-30.18113094
336.47763,-30.4814407
335.95554,-30.78175046
336.28528,-31.08206022
336.72058,-31.38236998
335.3681,-31.68267974
336.79144,-31.9829895
336.41516,-32.28329926
336.672,-32.58360902
337.13803,-32.88391878
338.00873,-33.18422854
337.87079,-33.4845383
337.45187,-33.78484806
337.57336,-34.08515782
338.61212,-34.38546758
338.70731,-34.68577734
339.04544,-34.98608711
337.50049,-35.28639687
338.64435,-35.58670663
338.32056,-35.88701639
338.51495,-36.18732615
340.97714,-36.48763591
339.84326,-36.78794567
339.3107,-37.08825543
339.74603,-37.38856519
340.01129,-37.68887495
339.55167,-37.98918471
340.92856,-38.28949447
339.93842,-38.58980423
340.85565,-38.89011399
341.98065,-39.19042375
339.69745,-39.49073351
340.92856,-39.79104327
341.45016,-40.09135303
343.02832,-40.3916628
