Rxx(Ohm),T(mK)
348.13559,-54.8065313
349.37625,-55.10684106
349.8262,-55.40715082
350.24973,-55.70746058
350.76764,-56.00777034
350.84833,-56.30808011
349.77759,-56.60838987
350.76764,-56.90869963
350.75784,-57.20900939
350.45383,-57.50931915
350.40524,-57.80962891
350.39548,-58.10993867
350.66068,-58.41024843
351.15234,-58.71055819
352.80862,-59.01086795
351.53906,-59.31117771
350.64618,-59.61148747
353.54346,-59.91179723
351.28824,-60.21210699
351.52917,-60.51241675
352.19098,-60.81272651
351.17664,-61.11303627
353.16678,-61.41334603
352.82861,-61.7136558
351.78,-62.01396556
352.03528,-62.31427532
352.25391,-62.61458508
351.82855,-62.91489484
352.5777,-63.2152046
352.26385,-63.51551436
351.95004,-63.81582412
351.82855,-64.11613388
350.84833,-64.41644364
352.10818,-64.7167534
352.54343,-65.01706316
352.35904,-65.31737292
352.86722,-65.61768268
353.18103,-65.91799244
353.63861,-66.2183022
352.81863,-66.51861196
353.39767,-66.81892172
352.85721,-67.11923149
353.94232,-67.41954125
354.11237,-67.71985101
354.07391,-68.02016077
354.10834,-68.32047053
355.81107,-68.62078029
355.57013,-68.92109005
354.90799,-69.22139981
354.15894,-69.52170957
354.31485,-69.82201933
355.44864,-70.12232909
354.15894,-70.42263885
354.28043,-70.72294861
354.66315,-71.02325837
353.80869,-71.32356813
355.57013,-71.62387789
355.54584,-71.92418765
355.78677,-72.22449741
356.53589,-72.52480718
356.23602,-72.82511694
356.22208,-73.1254267
356.24637,-73.42573646
356.12491,-73.72604622
354.76035,-74.02635598
354.76224,-74.32666574
355.53558,-74.6269755
355.44864,-74.92728526
355.03967,-75.22759502
356.02771,-75.52790478
356.36584,-75.82821454
355.40009,-76.1285243
355.67932,-76.42883406
355.78677,-76.72914382
355.68958,-77.02945358
355.32919,-77.32976334
355.81107,-77.6300731
356.24637,-77.93038287
356.21176,-78.23069263
355.57013,-78.53100239
355.83536,-78.83131215
355.68958,-79.13162191
356.92056,-79.43193167
358.05643,-79.73224143
358.39453,-80.03255119
357.58298,-80.33286095
357.92114,-80.63317071
356.71432,-80.93348047
356.86011,-81.23379023
356.24637,-81.53409999
355.94653,-81.83440975
355.76248,-82.13471951
355.76248,-82.43502927
356.15952,-82.73533903
356.72824,-83.03564879
357.28299,-83.33595856
356.96918,-83.63626832
358.24875,-83.93657808
