Rxx(Ohm),B(mT)
334.26682,52.10374346
335.12717,51.8034337
335.80341,51.50312394
335.48959,51.20281418
334.14529,50.90250442
334.7244,50.60219465
333.89621,50.30188489
334.2182,50.00157513
333.6391,49.70126537
335.64166,49.40095561
334.04813,49.10064585
333.39813,48.80033609
333.96909,48.50002633
333.42242,48.19971657
333.46088,47.89940681
334.19388,47.59909705
334.19388,47.29878729
334.40234,46.99847753
334.2829,46.69816777
334.71619,46.39785801
333.83145,46.09754825
334.16962,45.79723849
333.39813,45.49692872
333.87189,45.19661896
333.31714,44.8963092
334.121,44.59599944
333.70383,44.29568968
334.26682,43.99537992
333.4447,43.69507016
334.121,43.3947604
334.54813,43.09445064
333.34143,42.79414088
333.13086,42.49383112
333.90436,42.19352136
333.24423,41.8932116
334.30719,41.59290184
333.58237,41.29259208
333.78287,40.99228232
333.6391,40.69197256
334.55634,40.3916628
333.68768,40.09135303
333.46088,39.79104327
333.12277,39.49073351
333.48517,39.19042375
332.42426,38.89011399
332.57605,38.58980423
333.15515,38.28949447
332.4809,37.98918471
332.85754,37.68887495
333.34952,37.38856519
332.98709,37.08825543
333.56619,36.78794567
332.35941,36.48763591
333.03568,36.18732615
332.51941,35.88701639
332.26218,35.58670663
332.79474,35.28639687
332.52744,34.98608711
333.04382,34.68577734
333.19565,34.38546758
332.06982,34.08515782
332.56802,33.78484806
332.69754,33.4845383
332.47284,33.18422854
333.43658,32.88391878
335.3924,32.58360902
334.94308,32.28329926
332.69754,31.9829895
332.9628,31.68267974
332.55176,31.38236998
332.79474,31.08206022
332.76239,30.78175046
332.88184,30.4814407
334.04813,30.18113094
334.16962,29.88082118
333.22803,29.58051142
333.22803,29.28020165
333.18756,28.97989189
332.4809,28.67958213
332.66519,28.37927237
334.19388,28.07896261
335.4653,27.77865285
334.82159,27.47834309
335.3681,27.17803333
333.85574,26.87772357
332.21359,26.57741381
332.68951,26.27710405
332.1813,25.97679429
332.83322,25.67648453
331.44211,25.37617477
332.21359,25.07586501
331.85318,24.77555525
331.55569,24.47524549
333.36572,24.17493573
332.19131,23.87462596
332.47284,23.5743162
332.23792,23.27400644
333.49329,22.97369668
332.02121,22.67338692
332.02121,22.37307716
332.27847,22.0727674
332.42426,21.77245764
331.98895,21.47214788
332.69754,21.17183812
331.78027,20.87152836
331.73169,20.5712186
331.87747,20.27090884
331.77231,19.97059908
332.22989,19.67028932
333.09848,19.36997956
333.27664,19.0696698
333.30093,18.76936004
333.73627,18.46905027
331.79663,18.16874051
331.36133,17.86843075
331.39352,17.56812099
331.34494,17.26781123
331.17685,16.96750147
332.06186,16.66719171
332.66519,16.36688195
334.06424,16.06657219
332.78668,15.76626243
332.33508,15.46595267
333.73627,15.16564291
333.32526,14.86533315
332.2056,14.56502339
331.26413,14.26471363
331.65085,13.96440387
330.79013,13.66409411
331.00677,13.36378434
330.13812,13.06347458
329.64847,12.76316482
330.18674,12.46285506
330.03519,12.1625453
331.77231,11.86223554
333.83145,11.56192578
332.67325,11.26161602
332.1427,10.96130626
332.22989,10.6609965
333.03568,10.36068674
332.33508,10.06037698
332.55176,9.760067218
331.6102,9.459757458
330.74152,9.159447697
330.44415,8.859137937
330.79871,8.558828176
330.211,8.258518415
330.54916,7.958208655
330.211,7.657898894
330.37128,7.357589134
330.58994,7.057279373
330.22751,6.756969613
330.54916,6.456659852
330.28391,6.156350091
331.12827,5.856040331
331.20117,5.55573057
330.32468,5.25542081
330.06726,4.955111049
330.23532,4.654801289
331.44211,4.354491528
333.46899,4.054181768
332.85754,3.753872007
332.11044,3.453562246
332.88184,3.153252486
331.05536,2.852942725
329.94577,2.552632965
330.25961,2.252323204
330.83871,1.952013444
329.75339,1.651703683
329.76791,1.351393923
329.8894,1.051084162
330.37909,0.750774401
329.68051,0.450464641
331.17685,0.15015488
331.97263,-0.15015488
331.26413,-0.450464641
329.47839,-0.750774401
330.13812,-1.051084162
331.62653,-1.351393923
330.10602,-1.651703683
330.61423,-1.952013444
330.68509,-2.252323204
329.5347,-2.552632965
329.34238,-2.852942725
330.42767,-3.153252486
330.50058,-3.453562246
331.82886,-3.753872007
330.30038,-4.054181768
329.31036,-4.354491528
330.37909,-4.654801289
330.30823,-4.955111049
330.13812,-5.25542081
329.82428,-5.55573057
330.04297,-5.856040331
329.10141,-6.156350091
329.93799,-6.456659852
329.93799,-6.756969613
329.7048,-7.057279373
329.84854,-7.357589134
330.25961,-7.657898894
331.97263,-7.958208655
332.2056,-8.258518415
330.08173,-8.558828176
329.79221,-8.859137937
330.93591,-9.159447697
329.7048,-9.459757458
330.88733,-9.760067218
332.84131,-10.06037698
330.71722,-10.36068674
330.41983,-10.6609965
330.36346,-10.96130626
330.37128,-11.26161602
330.41983,-11.56192578
330.88733,-11.86223554
331.24976,-12.1625453
332.33508,-12.46285506
332.11044,-12.76316482
331.77231,-13.06347458
330.62207,-13.36378434
332.01324,-13.66409411
332.35941,-13.96440387
332.37567,-14.26471363
331.49072,-14.56502339
331.29633,-14.86533315
331.72372,-15.16564291
331.85318,-15.46595267
331.87747,-15.76626243
331.5636,-16.06657219
331.36923,-16.36688195
331.5636,-16.66719171
331.44211,-16.96750147
330.90375,-17.26781123
330.62207,-17.56812099
330.80655,-17.86843075
332.1427,-18.16874051
330.86301,-18.46905027
330.25961,-18.76936004
331.22546,-19.0696698
330.40338,-19.36997956
331.12827,-19.67028932
332.2056,-19.97059908
332.56802,-20.27090884
331.84521,-20.5712186
331.85318,-20.87152836
332.33508,-21.17183812
332.1427,-21.47214788
332.8656,-21.77245764
332.55176,-22.0727674
331.04749,-22.37307716
332.17331,-22.67338692
331.79663,-22.97369668
331.5636,-23.27400644
332.1427,-23.5743162
331.80457,-23.87462596
331.39352,-24.17493573
332.979,-24.47524549
331.86951,-24.77555525
332.25418,-25.07586501
332.04553,-25.37617477
332.19131,-25.67648453
333.03568,-25.97679429
332.26218,-26.27710405
332.64893,-26.57741381
332.62463,-26.87772357
333.17944,-27.17803333
331.87747,-27.47834309
332.93042,-27.77865285
332.51941,-28.07896261
333.0762,-28.37927237
333.27664,-28.67958213
332.81903,-28.97989189
332.11044,-29.28020165
331.92404,-29.58051142
332.35941,-29.88082118
332.21359,-30.18113094
332.26218,-30.4814407
332.67325,-30.78175046
332.38367,-31.08206022
331.96466,-31.38236998
332.35135,-31.68267974
332.16702,-31.9829895
333.03568,-32.28329926
334.43484,-32.58360902
334.77301,-32.88391878
334.8945,-33.18422854
332.56802,-33.4845383
332.85754,-33.78484806
332.91418,-34.08515782
332.52744,-34.38546758
332.55176,-34.68577734
332.58426,-34.98608711
332.32709,-35.28639687
331.96466,-35.58670663
331.86951,-35.88701639
332.71378,-36.18732615
333.92047,-36.48763591
332.43228,-36.78794567
332.60034,-37.08825543
332.81903,-37.38856519
333.01138,-37.68887495
333.27664,-37.98918471
332.45657,-38.28949447
332.66519,-38.58980423
332.83322,-38.89011399
333.50949,-39.19042375
332.81903,-39.49073351
333.06,-39.79104327
332.52744,-40.09135303
332.98709,-40.3916628
333.59048,-40.69197256
333.25235,-40.99228232
333.31714,-41.29259208
332.04553,-41.59290184
331.96466,-41.8932116
332.6409,-42.19352136
332.31906,-42.49383112
332.6409,-42.79414088
332.55176,-43.09445064
333.43658,-43.3947604
332.64893,-43.69507016
334.7001,-43.99537992
334.16962,-44.29568968
332.52744,-44.59599944
332.81903,-44.8963092
332.69754,-45.19661896
332.6409,-45.49692872
333.16327,-45.79723849
333.42847,-46.09754825
332.95471,-46.39785801
333.55804,-46.69816777
335.53616,-46.99847753
336.30957,-47.29878729
335.76315,-47.59909705
336.12561,-47.89940681
335.94717,-48.19971657
336.18811,-48.50002633
333.70383,-48.80033609
333.71198,-49.10064585
333.75043,-49.40095561
333.65527,-49.70126537
334.06424,-50.00157513
334.60495,-50.30188489
334.21002,-50.60219465
334.67581,-50.90250442
334.07239,-51.20281418
335.44931,-51.50312394
334.21002,-51.8034337
334.23431,-52.10374346
334.16962,-52.40405322
333.77472,-52.70436298
333.94476,-53.00467274
333.17136,-53.3049825
333.12277,-53.60529226
333.34143,-53.90560202
333.22803,-54.20591178
333.5419,-54.50622154
333.01138,-54.8065313
332.28647,-55.10684106
333.24423,-55.40715082
334.76474,-55.70746058
333.99338,-56.00777034
333.95294,-56.30808011
333.56619,-56.60838987
334.74872,-56.90869963
336.07703,-57.20900939
333.71198,-57.50931915
333.22803,-57.80962891
333.73627,-58.10993867
333.39001,-58.41024843
334.13712,-58.71055819
334.01566,-59.01086795
333.24423,-59.31117771
333.15515,-59.61148747
333.80716,-59.91179723
333.83145,-60.21210699
333.61478,-60.51241675
333.73627,-60.81272651
333.67953,-61.11303627
333.49329,-61.41334603
333.92047,-61.7136558
333.12277,-62.01396556
333.40417,-62.31427532
334.30719,-62.61458508
334.21002,-62.91489484
334.07239,-63.2152046
334.08853,-63.51551436
334.71619,-63.81582412
336.16382,-64.11613388
335.52219,-64.41644364
334.71619,-64.7167534
333.58237,-65.01706316
334.94308,-65.31737292
334.76474,-65.61768268
334.2182,-65.91799244
334.09671,-66.2183022
334.07239,-66.51861196
334.8945,-66.81892172
334.29111,-67.11923149
333.51761,-67.41954125
332.35941,-67.71985101
332.69754,-68.02016077
333.61478,-68.32047053
333.03568,-68.62078029
333.79898,-68.92109005
332.91418,-69.22139981
333.79898,-69.52170957
333.46088,-69.82201933
335.03824,-70.12232909
335.06256,-70.42263885
335.17578,-70.72294861
334.95712,-71.02325837
335.27094,-71.32356813
335.53616,-71.62387789
336.70474,-71.92418765
336.10132,-72.22449741
334.01566,-72.52480718
333.68768,-72.82511694
333.10858,-73.1254267
333.61478,-73.42573646
334.07239,-73.72604622
335.23267,-74.02635598
335.08685,-74.32666574
336.09293,-74.6269755
337.18665,-74.92728526
335.82773,-75.22759502
335.10291,-75.52790478
334.91052,-75.82821454
334.26682,-76.1285243
335.20007,-76.42883406
335.01398,-76.72914382
335.29523,-77.02945358
335.42502,-77.32976334
335.60904,-77.6300731
335.95554,-77.93038287
335.70624,-78.23069263
335.48959,-78.53100239
335.22437,-78.83131215
335.70624,-79.13162191
335.11118,-79.43193167
334.87021,-79.73224143
334.87021,-80.03255119
334.77301,-80.33286095
335.11118,-80.63317071
336.1499,-80.93348047
335.35211,-81.23379023
334.53207,-81.53409999
334.82159,-81.83440975
334.48346,-82.13471951
335.86035,-82.43502927
335.44931,-82.73533903
335.15146,-83.03564879
336.02005,-83.33595856
334.83765,-83.63626832
334.31537,-83.93657808
334.06424,-84.23688784
335.58475,-84.5371976
334.50775,-84.83750736
334.25861,-85.13781712
333.88004,-85.43812688
335.73886,-85.73843664
335.4736,-86.0387464
334.43484,-86.33905616
334.45093,-86.63936592
335.00568,-86.93967568
334.98141,-87.23998544
335.35211,-87.5402952
335.95554,-87.84060496
335.44931,-88.14091472
337.45187,-88.44122449
337.86295,-88.74153425
335.69028,-89.04184401
336.89706,-89.34215377
335.88263,-89.64246353
335.3681,-89.94277329
335.70624,-90.24308305
335.32782,-90.54339281
335.23267,-90.84370257
334.50775,-91.14401233
334.33969,-91.44432209
336.41516,-91.74463185
336.55893,-92.04494161
335.49792,-92.34525137
334.77301,-92.64556113
335.44931,-92.94587089
335.27921,-93.24618065
334.91052,-93.54649041
334.81335,-93.84680018
335.15976,-94.14710994
335.4007,-94.4474197
335.97983,-94.74772946
335.66595,-95.04803922
337.04288,-95.34834898
337.91153,-95.64865874
336.55893,-95.9489685
335.73886,-96.24927826
336.02841,-96.54958802
335.23267,-96.84989778
334.2829,-97.15020754
335.06256,-97.4505173
335.78745,-97.75082706
335.20007,-98.05113682
335.00568,-98.35144658
337.97586,-98.65175634
337.58917,-98.9520661
338.31195,-99.25237587
335.41672,-99.55268563
335.20007,-99.85299539
334.66757,-100.1533051
335.37643,-100.4536149
336.09293,-100.7539247
335.86035,-101.0542344
336.43945,-101.3545442
335.93121,-101.6548539
335.78745,-101.9551637
335.42502,-102.2554735
337.13803,-102.5557832
336.34229,-102.856093
335.64166,-103.1564028
335.61737,-103.4567125
337.79004,-103.7570223
335.4653,-104.057332
335.24661,-104.3576418
335.73053,-104.6579516
336.43945,-104.9582613
336.07703,-105.2585711
336.68042,-105.5588808
335.93121,-105.8591906
336.31796,-106.1595004
335.88263,-106.4598101
335.81177,-106.7601199
335.75482,-107.0604296
336.68042,-107.3607394
336.94568,-107.6610492
337.23523,-107.9613589
336.84848,-108.2616687
336.58322,-108.5619784
336.89706,-108.8622882
336.55893,-109.162598
335.95554,-109.4629077
337.59769,-109.7632175
338.50632,-110.0635272
336.24506,-110.363837
336.43106,-110.6641468
336.63181,-110.9644565
338.39346,-111.2647663
338.89304,-111.565076
336.86432,-111.8653858
337.7572,-112.1656956
337.0101,-112.4660053
337.25952,-112.7663151
336.729,-113.0666249
338.07959,-113.3669346
338.03101,-113.6672444
336.91293,-113.9675541
336.29367,-114.2678639
335.53616,-114.5681737
335.49792,-114.8684834
336.72058,-115.1687932
337.21091,-115.4691029
336.74487,-115.7694127
338.65872,-116.0697225
338.75589,-116.3700322
336.84003,-116.670342
337.25952,-116.9706517
336.07703,-117.2709615
336.43945,-117.5712713
336.58322,-117.871581
336.0527,-118.1718908
335.88263,-118.4722005
336.55893,-118.7725103
336.79144,-119.0728201
337.37051,-119.3731298
337.17813,-119.6734396
336.87277,-119.9737493
336.70474,-120.2740591
336.94568,-120.5743689
336.99426,-120.8746786
336.30118,-121.1749884
336.41516,-121.4752981
336.63181,-121.7756079
337.33243,-122.0759177
337.29962,-122.3762274
337.44339,-122.6765372
337.38101,-122.9768469
337.28384,-123.2771567
336.60751,-123.5774665
336.71216,-123.8777762
338.16821,-124.178086
336.77762,-124.4783958
336.39087,-124.7787055
336.7533,-125.0790153
337.38101,-125.379325
338.09534,-125.6796348
339.04544,-125.9799446
337.97586,-126.2802543
337.40329,-126.5805641
337.35672,-126.8808738
336.72058,-127.1811836
336.89706,-127.4814934
339.21555,-127.7818031
338.8288,-128.0821129
338.43344,-128.3824226
336.77762,-128.6827324
336.7533,-128.9830422
336.89706,-129.2833519
337.08096,-129.5836617
337.73291,-129.8839714
339.11835,-130.1842812
339.79465,-130.484591
339.28641,-130.7849007
338.36914,-131.0852105
337.64627,-131.3855202
336.92139,-131.68583
337.25104,-131.9861398
336.76715,-132.2864495
336.96152,-132.5867593
337.25104,-132.887069
336.70474,-133.1873788
337.39481,-133.4876886
337.37051,-133.7879983
337.28384,-134.0883081
337.25104,-134.3886179
339.76163,-134.6889276
338.00873,-134.9892374
337.11374,-135.2895471
337.46768,-135.5898569
337.03442,-135.8901667
336.01169,-136.1904764
337.40329,-136.4907862
336.38248,-136.7910959
337.38101,-137.0914057
337.28384,-137.3917155
337.22675,-137.6920252
337.10526,-137.992335
337.12958,-138.2926447
336.76715,-138.5929545
337.04288,-138.8932643
337.98444,-139.193574
337.25952,-139.4938838
337.63776,-139.7941935
337.71713,-140.0945033
338.92596,-140.3948131
337.42761,-140.6951228
337.32391,-140.9954326
337.20245,-141.2957423
337.25104,-141.5960521
337.50049,-141.8963619
337.76575,-142.1966716
338.03101,-142.4969814
337.45187,-142.7972911
337.59769,-143.0976009
337.38101,-143.3979107
337.66205,-143.6982204
337.7572,-143.9985302
338.99686,-144.2988399
338.38483,-144.5991497
339.3107,-144.8994595
338.20108,-145.1997692
337.74146,-145.500079
337.90298,-145.8003888
338.04672,-146.1006985
338.22537,-146.4010083
337.4762,-146.701318
337.28384,-147.0016278
337.37051,-147.3019376
337.06717,-147.6022473
337.11374,-147.9025571
337.45187,-148.2028668
337.52478,-148.5031766
337.73291,-148.8034864
337.5491,-149.1037961
337.01859,-149.4041059
337.03442,-149.7044156
336.672,-150.0047254
