Rxx(Ohm),B(mT)
71.458611,3079.915983
71.879761,3078.515703
69.933464,3077.115423
69.715034,3075.715143
68.370262,3074.314863
69.354416,3072.914583
68.061737,3071.514303
68.302315,3070.114023
69.045464,3068.713743
67.039391,3067.313463
66.167847,3065.913183
65.490273,3064.512903
66.107826,3063.112623
67.18969,3061.712342
65.137627,3060.312062
64.566757,3058.911782
63.492207,3057.511502
63.334248,3056.111222
62.252014,3054.710942
63.251625,3053.310662
64.664848,3051.910382
63.552227,3050.510102
60.966862,3049.109822
60.809204,3047.709542
60.816559,3046.309262
61.200043,3044.908982
62.079487,3043.508702
58.76527,3042.108422
60.996616,3040.708142
58.682098,3039.307862
57.750038,3037.907582
57.953346,3036.507301
60.06506,3035.107021
58.163639,3033.706741
58.284168,3032.306461
58.140919,3030.906181
57.659756,3029.505901
55.69912,3028.105621
56.727692,3026.705341
57.960358,3025.305061
55.939667,3023.904781
55.361595,3022.504501
55.916176,3021.104221
54.970806,3019.703941
54.286064,3018.303661
55.435013,3016.903381
54.947704,3015.503101
54.279495,3014.102821
52.45927,3012.702541
53.624924,3011.30226
53.534657,3009.90198
52.115795,3008.5017
52.519287,3007.10142
52.813503,3005.70114
53.414631,3004.30086
51.785011,3002.90058
51.918091,3001.5003
53.427288,3000.10002
53.631409,2998.69974
52.031834,2997.29946
51.370693,2995.89918
52.398746,2994.4989
49.693295,2993.09862
49.182274,2991.69834
50.324604,2990.29806
50.054066,2988.89778
48.701263,2987.497499
48.515034,2986.097219
49.056053,2984.696939
48.430672,2983.296659
47.998215,2981.896379
50.011902,2980.496099
49.182274,2979.095819
49.897728,2977.695539
48.124252,2976.295259
49.326611,2974.894979
47.883801,2973.494699
47.288342,2972.094419
48.490845,2970.694139
46.055782,2969.293859
47.438644,2967.893579
47.913857,2966.493299
47.733467,2965.093019
47.733467,2963.692739
46.085842,2962.292458
47.949715,2960.892178
46.506733,2959.491898
45.954475,2958.091618
45.689484,2956.691338
44.252029,2955.291058
44.73304,2953.890778
42.688805,2952.490498
43.740959,2951.090218
