ne(cm-2),Rxx(Ohm)
4.80499E+12,5391.9971
4.79786E+12,6324.8916
4.79073E+12,5761.6562
4.78359E+12,5063.6201
4.77646E+12,4966.4541
4.76932E+12,4724.5029
4.76219E+12,5380.1812
4.75505E+12,6072.6392
4.74792E+12,6630.6279
4.74078E+12,6218.6772
4.73365E+12,6121.7197
4.72652E+12,5464.7017
4.71938E+12,4490.2896
4.71225E+12,3971.2681
4.70511E+12,5072.3691
4.69798E+12,5440.6318
4.69084E+12,6450.8696
4.68371E+12,5490.9404
4.67658E+12,4976.2339
4.66944E+12,6395.9683
4.66231E+12,5958.0781
4.65517E+12,5443.7065
4.64804E+12,5095.4355
4.6409E+12,4868.1602
4.63377E+12,5535.1509
4.62663E+12,4832.4629
4.6195E+12,5047.7251
4.61237E+12,5076.9385
4.60523E+12,4790.6641
4.5981E+12,5383.3833
4.59096E+12,5833.6973
4.58383E+12,7103.3096
4.57669E+12,7513.5005
4.56956E+12,8445.1074
4.56243E+12,7475.042
4.55529E+12,6806.4058
4.54816E+12,6608.8452
4.54102E+12,7301.2163
4.53389E+12,7390.9619
4.52675E+12,7326.3242
4.51962E+12,6908.1846
4.51249E+12,6685.8232
4.50535E+12,7319.1841
4.49822E+12,7344.5317
4.49108E+12,11215.231
4.48395E+12,10381.3
4.47681E+12,9880.6641
4.46968E+12,7621.4839
4.46254E+12,7606.02
4.45541E+12,9489.1074
4.44828E+12,7391.7944
4.44114E+12,7788.8774
4.43401E+12,7146.9619
4.42687E+12,7904.1499
4.41974E+12,7528.0557
4.4126E+12,6032.8979
4.40547E+12,5610.0571
4.39834E+12,5175.5562
4.3912E+12,5725.5293
4.38407E+12,5224.4355
4.37693E+12,5347.1738
4.3698E+12,6948.0269
4.36266E+12,7497.0034
4.35553E+12,8482.1953
4.34839E+12,11945.791
4.34126E+12,13047.522
4.33413E+12,14165.499
4.32699E+12,16379.971
4.31986E+12,16168.207
4.31272E+12,17135.338
4.30559E+12,12697.732
4.29845E+12,15978.894
4.29132E+12,16803.125
4.28419E+12,14031.889
4.27705E+12,12318.296
4.26992E+12,11062.279
4.26278E+12,13452.928
4.25565E+12,12633.625
4.24851E+12,8851.5928
4.24138E+12,10304.159
4.23424E+12,9030.2871
4.22711E+12,11247.229
4.21998E+12,12848.632
4.21284E+12,13920.683
4.20571E+12,8625.2002
4.19857E+12,8300.3643
4.19144E+12,9914.1582
4.1843E+12,10609.751
4.17717E+12,14832.018
4.17004E+12,17011.488
4.1629E+12,14835.78
4.15577E+12,10647.189
4.14863E+12,12535.2
4.1415E+12,12459.094
4.13436E+12,12664.289
4.12723E+12,10794.308
4.1201E+12,9525.915
4.11296E+12,7699.9795
4.10583E+12,8654.5156
4.09869E+12,13218.666
4.09156E+12,9381.7568
4.08442E+12,10045.882
4.07729E+12,13519.855
4.07015E+12,9971.7275
4.06302E+12,13519.274
4.05589E+12,16017.305
4.04875E+12,12683.58
4.04162E+12,17341.09
4.03448E+12,20386.006
4.02735E+12,17485.197
4.02021E+12,18265.619
4.01308E+12,23896.979
4.00595E+12,25297.992
3.99881E+12,24325.891
3.99168E+12,23670.648
3.98454E+12,24384.562
3.97741E+12,24097.227
3.97027E+12,19024.553
3.96314E+12,15746.732
3.956E+12,20602.537
3.94887E+12,21870.988
3.94174E+12,15064.154
3.9346E+12,18771.932
3.92747E+12,14993.548
3.92033E+12,18946.215
3.9132E+12,17761.566
3.90606E+12,24610.406
3.89893E+12,27993.383
3.8918E+12,20991.67
3.88466E+12,25129.043
3.87753E+12,30173.34
3.87039E+12,28067.871
3.86326E+12,31152.104
3.85612E+12,28440.217
3.84899E+12,33321.551
3.84185E+12,29143.621
3.83472E+12,34058.961
3.82759E+12,23280.271
3.82045E+12,23775.258
3.81332E+12,20331.641
3.80618E+12,25193.34
3.79905E+12,24944.395
3.79191E+12,27086.857
3.78478E+12,27864.156
3.77765E+12,13744.216
3.77051E+12,35384.781
3.76338E+12,28464.293
3.75624E+12,19686.834
3.74911E+12,41799.16
3.74197E+12,30028.836
3.73484E+12,29842.916
3.72771E+12,36369.168
3.72057E+12,48820.547
3.71344E+12,33583.457
3.7063E+12,35416.746
3.69917E+12,27149.287
3.69203E+12,22744.18
3.6849E+12,34300.043
3.67776E+12,45389.402
3.67063E+12,58970.945
3.6635E+12,45134.855
3.65636E+12,77751.672
3.64923E+12,50657.887
3.64209E+12,-11312.259
3.63496E+12,86672.164
3.62782E+12,40608.027
3.62069E+12,40573.164
3.61356E+12,52782.832
3.60642E+12,50596.512
3.59929E+12,33539.562
3.59215E+12,80067.305
3.58502E+12,67187.289
3.57788E+12,45524
3.57075E+12,22500.025
3.56361E+12,75265.203
3.55648E+12,109780.73
3.54935E+12,43194.531
3.54221E+12,69801.555
3.53508E+12,34098.871
3.52794E+12,78459.445
3.52081E+12,41837.145
3.51367E+12,117210.98
3.50654E+12,130032.34
3.49941E+12,44251.164
3.49227E+12,18813.145
3.48514E+12,23241.145
3.478E+12,144773.62
3.47087E+12,106773.97
3.46373E+12,20370.467
3.4566E+12,82353.516
3.44946E+12,61684.547
3.44233E+12,49492.348
3.4352E+12,147730.89
3.42806E+12,125078.31
3.42093E+12,54741.336
3.41379E+12,41440.266
3.40666E+12,23970.197
3.39952E+12,15008.426
3.39239E+12,74916.289
3.38526E+12,53101.352
3.37812E+12,8854.1465
3.37099E+12,42322.875
3.36385E+12,54884.668
3.35672E+12,60483.949
3.34958E+12,41763.402
3.34245E+12,71320.617
3.33532E+12,134375.86
3.32818E+12,33015.195
3.32105E+12,117650.48
3.31391E+12,75120.266
3.30678E+12,156794.06
3.29964E+12,173733.19
3.29251E+12,-193328.62
3.28537E+12,105605.66
3.27824E+12,329317.78
3.27111E+12,374765.06
3.26397E+12,20614.082
3.25684E+12,135863.02
3.2497E+12,165312.38
3.24257E+12,116015.45
3.23543E+12,141918.2
3.2283E+12,221274.17
3.22117E+12,164431.78
3.21403E+12,266229.31
3.2069E+12,630936.69
3.19976E+12,335118.41
3.19263E+12,255487.55
3.18549E+12,266963.38
3.17836E+12,97070.148
3.17122E+12,346154.81
3.16409E+12,263043
3.15696E+12,436956.41
3.14982E+12,581873.75
3.14269E+12,457663.88
3.13555E+12,1061872.1
3.12842E+12,774999.38
3.12128E+12,2051037.5
3.11415E+12,2319711.2
3.10702E+12,1969997.9
